predict_flag,true_flag,predicted_flag
"['4bed9d7c5af27e6fa0676b8f028c6cbd97b0b566', '915dab7a8e04700cb11aee22025a97d14d274992']",0.0,0.0
"['bfd2245e713404bc7171fd8fdd431c850870d99f', 'f1253c0f054ccb734b76a30b79f4ec2dbda2d779']",0.0,0.0
['2cb82d28fd2d6df5d2af4c1a029520716579920b'],0.0,0.0
['b537275b1cc35071af78bc0c8ad491df9b4c2673'],0.0,
"['3ad5ad1910cc833c524ea84ff2b6b5506d1803f6', 'a852d3c8cf09ad39502ee1e35d55c621455f47d5', 'b230d07ab037b6462263bc60f74cb9aa508c0a53']",0.0,0.0
['8684c62d2eb7fc27cd6bc7d053140af4987dacdf'],0.0,0.0
['cc9fe1b5cda588114595f4b803f6bb18d2d2a712'],0.0,1.0
['be65cdf14e4f731862208502356b5152c096d10c'],0.0,0.0
"['7131380bde82c61a8008895fa1932427b02fef8c', 'e92728884ddddc85cf973092dd038afe3c693ec0', 'eddea815e37fd69efc4dc52da0ede25363145fd2', 'f32b4027298a34e106900dd1342ef5983376b2d4']",0.0,0.0
['8eae3273f585af032e03e323da65b939f3da85e9'],-1.0,0.0
['374a128e68eac4ae2b42563912ba9aa0671cc244'],-1.0,0.0
['64703da61bd5da55a59cf15984ee0122f5e73639'],0.0,0.0
['785f119203252d88ff0875ff21e53d3c4dfb70b2'],-1.0,1.0
"['25a50723b9c6511175dc95a15646ebabe2445698', '76fe77f3e6afbf1529ab7f531618b19c6d1af313']",0.0,0.0
['b7ab367139ad0920858275db4fd523b497d71380'],0.0,0.0
"['08984b26d351614fe4af0f582acb53c9b43dfda1', '66cc26905fce88a38c690b2b56a0d75bb89cfcd7', 'b57e8e6f9a99288300a85fb763794f01f3dd24f6', 'c874f45b0b9383a63d68123a4de4dac6ea574bd1', 'cb4b8b0385838697afdccbb38ac50f8169a89419']",-1.0,0.0
"['13b22a69f522f43287df6490cd7f140e96ff71cb', '13b22a69f522f43287df6490cd7f140e96ff71cb']",-1.0,
"['20c5a46ad92a7eaf476e93c21a6e626f234eb970', '5b371f8a550dbefa79c4f1e164b6e1f830ad29eb', 'ca12eec4ee354b7a9bea33fd38997b10b42a7362', 'cacb446879b760c3f98c4dedb8a1e2611180efb9', 'd95257e2ac505bcf8563181b0a674b9bc34aa036']",-1.0,
['9392d6733f38170da428b044402fa58ad8f1e053'],0.0,0.0
['d8b9808ae0481f26e1c6ffef7d03012084de34f6'],0.0,0.0
['ee2f86824d1bcbb75a43fdd78bd47d1669b86371'],-1.0,0.0
['a066fbb96f17565f8ba95ef4217d75d06514caf9'],-1.0,0.0
