predict_flag,true_flag,predicted_flag
"['078d21b6e2575b622c3f3dd2c17e18f2d46629cc', '9737b2375e94be0aaad346b2468c3f60743fdb7d', 'd1fcbca3b1963bce82a4ef245f0fb9afb58cf73a']",0.0,1.0
"['7680b65e3f9a4e51161e6f9b8965be306c889bd3', '89244f2497aadeb89a786927374a1b2bc886947c', 'ad1e4475afc521f5701dd73b4d742346516992ca']",1.0,1.0
['907a474fe29584dfcba2833fc345d25d6bf4444e'],-1.0,1.0
['ab3ccdf5f7ffecb9211612595941c79418626c2c'],-1.0,
"['8b19cd5bc014da15a2b78bc1b726916ddfb9e5e9', '9e8ff67544bca154b00cd7616b7bd9286c7b0ca2', 'dcaffbeafb899ec94d80b2cb47c46ba8ae60ccab']",-1.0,1.0
['581fbe56676237cfb94ceb60f6bd2788e4515ff5'],-1.0,
['d966f1fae2559873515d4faced02d7c2a7921621'],1.0,1.0
['48bb508f667a2de4e1107fa3e5574892aa321620'],1.0,1.0
['8060e7a73a712d79b4cc8fd9dc816f449764daf6'],-1.0,1.0
['57a564383683cb49440ed41ff4d268330b7caf1c'],-1.0,1.0
['9b8a4ba9574e005ce7ba14de3bd9772f658f6e66'],-1.0,0.0
"['24615cb8bfa219e529128865de3dc6e0572278ad', '6c3a33d6289a82d0b6f8a97f7fa16bab0d667854', '892ea304e72daa0aa8bded4717c21264f58936df', 'bec6a6d5adb414436d949e3170c1bce22bd7055a', 'f9d04dadad9025f8da5b9830f823450b841fb5e3']",-1.0,1.0
"['39923648feea60dd14dc68604d03f8ecdb69829e', '55d0e245ab92e9f75ac65ab0dbba502196351ae1', '586feb40717d7e1a20a5357616dfac4069304495', '7d905b41df3d4d0ddb94eecfb7192a7348cb4ff5', 'f7cf805651cbf38d596e4e92e71d4d982049ca23']",-1.0,
['815a701455284a923f2d4ee80a3e36c2ff119b67'],0.0,0.0
"['3fd26768d6f658240293d4301d37239e72552bb3', '4b773cefe9ffdecd04993e4652fb2e436bf57e08', '67ae1b6d5251079e08520ade1f73f78518500fc6', 'e2160cb3b92843633659d4bc099e6c3d0967f5fa', 'f34d2a53c8c5f6457ae7c85cc707abda1cb7cc90']",-1.0,1.0
